alpha,method_id,scenario_id,n,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_loss_mean,test_loss_std,test_loss_min,test_loss_max,best_round_mean
0.1,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P4,5,0.788996212158,0.034061000314,0.771807162289,0.849598109753,0.155705568592,0.051458070538,0.124458426840,0.243004322767,0.166004623322,0.040571172931,0.142857142857,0.236541597556,1.608129130196,0.672924592570,0.779343966997,2.493536328124,3.200000000000
0.1,TEA_FL,CLEAN,5,0.818796417502,0.041754845448,0.771807162289,0.882314412169,0.221740723256,0.080540744749,0.124458426840,0.343051410406,0.250455096319,0.074871532553,0.142857142857,0.338101164115,1.232042863191,0.608864347017,0.708655300540,2.166705906416,12.000000000000
0.1,TEA_FL,SIGNFLIP_MU0P2,5,0.854542606940,0.059843385504,0.771807162289,0.919771317972,0.276016692976,0.098240837994,0.124458426840,0.364258201560,0.316521309250,0.111151178145,0.142857142857,0.400227641641,0.904498465882,0.731725018274,0.336493478506,2.166705906416,12.800000000000
0.1,TEA_FL,SIGNFLIP_MU0P4,5,0.792871741228,0.047101830424,0.771807162289,0.877130056982,0.150662173574,0.058593358963,0.124458426840,0.255477160511,0.170814202232,0.062513885213,0.142857142857,0.282642439732,1.521309471008,0.636415260019,0.460001655871,2.166705906416,2.400000000000
1.0,ARL_FL,CLEAN,5,0.965545718037,0.001017933884,0.964454900702,0.966677526823,0.615817814350,0.015799526740,0.588985529348,0.629756846105,0.600255780240,0.015709187303,0.574841263176,0.614547146552,0.099746827123,0.003723123996,0.095441860367,0.104848726183,18.400000000000
1.0,ARL_FL,SIGNFLIP_MU0P2,5,0.964261254764,0.001693047316,0.961703446182,0.965892018462,0.585714388890,0.022733542274,0.565154213513,0.612408354484,0.580098721260,0.011353270314,0.569482878294,0.595000665977,0.100947961889,0.003274746572,0.096234906711,0.105107518505,16.200000000000
1.0,ARL_FL,SIGNFLIP_MU0P4,5,0.961704316284,0.001712913543,0.959439248542,0.963624920482,0.549857190300,0.012769658083,0.537657596033,0.563644711990,0.547856216963,0.015040862209,0.532089190891,0.562609307334,0.107965620040,0.002464251348,0.104820416631,0.111469912380,4.400000000000
1.0,FEDAVG,CLEAN,5,0.965004128148,0.001096846008,0.963831327910,0.966301932979,0.615253750989,0.012959042447,0.593392056055,0.627495059056,0.598530741818,0.014273732453,0.576903677374,0.612144358572,0.100884844554,0.004425217999,0.095121616162,0.105388218279,18.400000000000
1.0,FEDAVG,SIGNFLIP_MU0P2,5,0.961847206297,0.000566166489,0.961244709299,0.962682310448,0.549465914718,0.009964686042,0.538734623006,0.563630878712,0.546570630163,0.013477688750,0.531392043942,0.565982191927,0.112097815911,0.004836255592,0.108734565299,0.119644667603,4.400000000000
1.0,FEDAVG,SIGNFLIP_MU0P4,5,0.961772860952,0.000542586177,0.961244709299,0.962682310448,0.549077857145,0.009874535453,0.538734623006,0.563630878712,0.547292140440,0.013675635702,0.531392043942,0.565982191927,0.110049406821,0.005750912154,0.104061633850,0.119644667603,3.800000000000
