run_index,run_directory,config_id,alpha,experimental_seed,method_id,scenario_id,runner_generation,runner_sha256,build_binding_sha256,best_round,validation_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,test_loss,test_accuracy,test_macro_f1,test_balanced_accuracy,scientific_optimizer_steps,run_result_binding_sha256,run_state_status
33,run_033__alpha_0p1_seed_42__TEA_FL__SIGNFLIP_MU0P4,alpha_0p1_seed_42,0.1,42,TEA_FL,SIGNFLIP_MU0P4,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,1,1.661204588702,0.771807162289,0.124458426840,0.142857142857,1.661328806723,0.771807162289,0.124458426840,0.142857142857,36000,8C35229D8C18AD29F6FA05A8C9A5C03262E0A999DC2B1CBDF24778480464C8F2,IN_PROGRESS
34,run_034__alpha_0p1_seed_42__ARL_FL__CLEAN,alpha_0p1_seed_42,0.1,42,ARL_FL,CLEAN,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,11,1.040161731310,0.880774332390,0.315786264607,0.372166618571,1.040353200433,0.880662185966,0.315698221933,0.372084345609,36000,F9B803FFB67366252E1D5DD624D44B3D801C1B27EA1E15A849368A8033DABABA,IN_PROGRESS
35,run_035__alpha_0p1_seed_42__ARL_FL__SIGNFLIP_MU0P2,alpha_0p1_seed_42,0.1,42,ARL_FL,SIGNFLIP_MU0P2,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,18,0.457431233511,0.804490110812,0.198965837428,0.285446467912,0.457452547208,0.804488177253,0.198987154331,0.285478149002,36000,0DF27C14ECCE454A3A358441D512572B244EFC14579469862050F8A1708B918B,IN_PROGRESS
36,run_036__alpha_0p1_seed_42__ARL_FL__SIGNFLIP_MU0P4,alpha_0p1_seed_42,0.1,42,ARL_FL,SIGNFLIP_MU0P4,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,1,1.430073183479,0.771807162289,0.124458426840,0.142857142857,1.430191741282,0.771807162289,0.124458426840,0.142857142857,36000,CCEB342B5ADCEDB145777CC4C6DA13F7419404A1E05E42F6CA5D65E231F1E1BE,IN_PROGRESS
37,run_037__alpha_0p1_seed_456__FEDAVG__CLEAN,alpha_0p1_seed_456,0.1,456,FEDAVG,CLEAN,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,15,0.540037585591,0.902516720452,0.352140945951,0.378589911792,0.540246448974,0.902392972673,0.352080898708,0.378456437910,36000,09A51E7FA87A838882D19D8C7AF9D3DA9B9F76E8201C6F9EA4D4E359454A8ED9,IN_PROGRESS
38,run_038__alpha_0p1_seed_456__FEDAVG__SIGNFLIP_MU0P2,alpha_0p1_seed_456,0.1,456,FEDAVG,SIGNFLIP_MU0P2,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,6,1.418614710994,0.818690168432,0.234065577092,0.269666288734,1.419261060252,0.818647146744,0.234097358057,0.269551162672,36000,48DC4532484BEC7EE8B0577D13223573DF5669F8A206E837ACA1C205F2FE5913,IN_PROGRESS
39,run_039__alpha_0p1_seed_456__FEDAVG__SIGNFLIP_MU0P4,alpha_0p1_seed_456,0.1,456,FEDAVG,SIGNFLIP_MU0P4,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,5,2.069532327288,0.800063710771,0.216519422135,0.219273940175,2.070199077964,0.799992169086,0.216401737872,0.219082905070,36000,7F32D4108BC2C473F674C27796B457E50C00D9E67055A00B84B5313F30373D63,IN_PROGRESS
40,run_040__alpha_0p1_seed_456__FEDPROX__CLEAN,alpha_0p1_seed_456,0.1,456,FEDPROX,CLEAN,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,15,0.308920927433,0.898046815332,0.345704117687,0.377905689137,0.309041728859,0.897906148911,0.345624341862,0.377772872445,36000,1EABBA6A68CBDE1B8146B8E9E59E14653008FCC7C64BD6DD27D0080F6872AB68,IN_PROGRESS
41,run_041__alpha_0p1_seed_456__FEDPROX__SIGNFLIP_MU0P2,alpha_0p1_seed_456,0.1,456,FEDPROX,SIGNFLIP_MU0P2,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,11,1.059228544777,0.689965408629,0.283859106674,0.369015015483,1.059466560138,0.689935921853,0.283724842058,0.368711904287,36000,C9DFEEFC370CF52E08ABBEC81FB567924A7A1E6A0A98EE2CD1AE15954F1951E7,IN_PROGRESS
42,run_042__alpha_0p1_seed_456__FEDPROX__SIGNFLIP_MU0P4,alpha_0p1_seed_456,0.1,456,FEDPROX,SIGNFLIP_MU0P4,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,1,1.103697278741,0.771807162289,0.124458426840,0.142857142857,1.103782950353,0.771807162289,0.124458426840,0.142857142857,36000,D23DEBDFAC3CC20BD226A772BA4D3590A44770B8C6AC0E7E64C58ADD63FB9834,IN_PROGRESS
