ablation_run_id,reference_run_id,outer_fold,alpha,scenario,method_family,variant,fl_seed,scientific_optimizer_steps_accounted,run_result_binding_sha256,run_manifest_binding_sha256
49,173,2,1.0,labelflip_mu0p4,tea_fl,tea_trust_only,123,5238,398FC448BCAB50E3AAB71516F0BC7903726A187B2991EAB3A079953692659826,AC9C6D47D105EAD33624A5AC0C4926BBFF9FC0ED57232841125A2C1E28003425
50,173,2,1.0,labelflip_mu0p4,tea_fl,tea_energy_only,123,5608,728B05005DBB9851ACBB5C83AD3D4C3BCD893AB076FB4F6424C19EEBFDF9BA48,FC1BF99B605F248DA16473C8849880E4ED59B382CB5920CF3912FE62BAB38F0E
51,174,2,1.0,labelflip_mu0p4,arl_fl,arl_no_energy,123,5738,D17F3697E8AF06B30EBA551B6342F0EE8E20806C0FF1172D838F8DB9483F1DF0,76BF4361FC0048B308AC62C9CC4936C3152585A62A87BCFF75AAB1119C66E0B9
52,174,2,1.0,labelflip_mu0p4,arl_fl,arl_no_pressure,123,5537,AD8B3285607F4972DE6A09B7DCE56BF6761B0C91633F24A06A342201AE24DAD7,C23EF0C34267D46A7774756F8D884787E4933C3318791C688AF3C75FFB6709D6
53,179,2,1.0,labelflip_mu0p4,tea_fl,tea_trust_only,456,5399,E3F251D1421AB075FC3B0192F40AD6C70D2AB4243AC2DA96DD93A032ECB523BE,45CF06C6C905B6AC986F622BC4F2FF9CFFE58BD3F258FBCBD9390D7E573B4FDF
54,179,2,1.0,labelflip_mu0p4,tea_fl,tea_energy_only,456,5761,0B1FCB08B07167A84B6B132633BA5EB185EA033A9D0AC8A5E4D996BB962EB318,26AABEBD0C26491EC18B4CA00FECD499271FAC0FF0852F00760242224D67AB91
55,180,2,1.0,labelflip_mu0p4,arl_fl,arl_no_energy,456,5802,53451C27C0175040E289AF2FCDB74374BAFB067FEFE3E26DF96C638296CD7072,3EE7DEE49FFC6827BF52792A75DB871633BDAA8AC9921F2A59568A3647886F2E
56,180,2,1.0,labelflip_mu0p4,arl_fl,arl_no_pressure,456,5591,F4EFF840905B137FDE9ADE446A28564C784525526E64A4CF263DF54CF0BA71CA,5A6838CFD3D7892D55013D937E30346CE8A95D2607DC3FCD25ACF2B2A2A597D5
57,293,3,1.0,labelflip_mu0p4,tea_fl,tea_trust_only,123,4802,94CDC505B94A80A811FAF3AEBB5C2E841B4D81BEFE25E7A78DC97A77309FDD93,A64D8E3A3F3BBBD92FC81B2733154519FAE8B002DDCA40A928E1E8FFA55FD9A3
58,293,3,1.0,labelflip_mu0p4,tea_fl,tea_energy_only,123,5644,9E4C37408733CAA7939C3F49E11138C9EF71983A2BC6D36F5BD7996483204ABC,9E523EC5CB3C8ED024E49C315D183F77F2EC3F2D6C69F3998AF8510E73D1D6F5
59,294,3,1.0,labelflip_mu0p4,arl_fl,arl_no_energy,123,5836,39C9F389C33B33772A0B1593397197825442DBD70AB575FAD24C98CFAF16EAC4,42F8E3C9289CEE4107F761A2C882B8C10E33755E46897865D37E7ADA69A8E02F
60,294,3,1.0,labelflip_mu0p4,arl_fl,arl_no_pressure,123,5544,2BAA73E3590E9796BBFF511E68F4A093A906A68CCECD18E7DABF7A46CA986003,9062D2BA2217CF0E9B222BA298B5FB54AEEFFC5EC93E1819620041A19D63F73F
61,299,3,1.0,labelflip_mu0p4,tea_fl,tea_trust_only,456,5145,F08E44FE84F49FE0FA29CFE5025D74352B8165FB973E88F5A6B58C2CA1020846,1D8AE55B42A3D0DDD932C2E587B65E772AC0B5BF4EF1A9B41A836DB0F12685BF
62,299,3,1.0,labelflip_mu0p4,tea_fl,tea_energy_only,456,5564,800E01FFC5BBBE8967869E035DD8E1F952FDA52B6C033CD4C96DC3C78F87A45A,62B2CAD6D558972DA98DB7C9957EC4408C47D1877A09FC53D31DB720C0DD97EF
63,300,3,1.0,labelflip_mu0p4,arl_fl,arl_no_energy,456,5618,110B5272CCEA2C2534F0B019D034C8B2504ED4AD7BDD783A16C155417E42CF5E,0DF86565B89BF0708FC1B0E4FE9FDA71D1AE133F6F042566A666D3C14F3A14DC
64,300,3,1.0,labelflip_mu0p4,arl_fl,arl_no_pressure,456,5429,191E04EBE52E0D1E1DC740E3DCDDDD5AB2BBF962285E1321F7415372938201B8,15CEC878FF49D6DD74CADE68A2FBAA1E2A596C2E1B8FE20F99AC3B012BD5AA50
65,413,4,1.0,labelflip_mu0p4,tea_fl,tea_trust_only,123,5563,921DEE4FB46C3CF183773984C9BDDA9988F759289CEC3DE67E90DBD7FD6C1801,160CE1A51A12053DFC43148C58D549035013491ABD3351FCD500F998BB3EB227
66,413,4,1.0,labelflip_mu0p4,tea_fl,tea_energy_only,123,5744,19CA19C0131FC45A836B789E679BFF0097C5A7E1E9036B98EA682A8450B36D1C,A148C07B5C64571C12E104FDA5B13A7EE0A300FA99DDDD43A80E2F0C93070791
67,414,4,1.0,labelflip_mu0p4,arl_fl,arl_no_energy,123,5824,AE9661CD953A0AC1DCF129D50AA6CF28E6C005A4FB3B3AD3ABD7BBCC2F5CBD97,6ED1FD3656A9EAEB5C205183CE4D6006BA13EC2FB1BCC20B3E9B7F149E9A7805
68,414,4,1.0,labelflip_mu0p4,arl_fl,arl_no_pressure,123,5566,94263F7B23CCDFDD82A28B0576F47D442D1B94A3760010BE788DF811CEDD5E33,0AE4EE156B85A6F14EB43EE192B5B9557656EA834287EDD8370422DEB685C7D4
69,419,4,1.0,labelflip_mu0p4,tea_fl,tea_trust_only,456,5261,04641B88237339ED06310F74FFF3094833529022EFADF3A624580775424033D9,5049BFC04BC29B8FD3790E0C2D6160E73B7359740A6CBD0CDDD26C5777563957
70,419,4,1.0,labelflip_mu0p4,tea_fl,tea_energy_only,456,5804,50E402DC2535D9FBF09F500A75B61EB69FDA1BBB0CFC4680258F1E79FB287634,0BF15BF5029B1FDE5DB47CEF170CFA898B955532BD1D9E7C7772C412189E20B4
71,420,4,1.0,labelflip_mu0p4,arl_fl,arl_no_energy,456,5849,15CCC1077DB33401594218BA6E5E44145897DFBE80668C4ADB67FFA740E73942,B6673C1F189DF7EC590C65E45BBAEEF83DA3B41E233845CA133A23C5E5352E5C
72,420,4,1.0,labelflip_mu0p4,arl_fl,arl_no_pressure,456,5660,0A023D45FDEC4909F43BDEDAB9E9382E60556738F2721C3DB726B7EDB102C741,6F1330814C7F5C44D8BAED374F489C783A51F0F2D87060ED2AEF0758A34BD064
73,533,5,1.0,labelflip_mu0p4,tea_fl,tea_trust_only,123,5290,101F043B171C1E72F7B0E87781F8531F847E0803341097CA6D293CBE6A8551D9,CD9FE5E2C43507CD3D7234B55DD82DE9D4A88D5E42D9A9F0BA64A267E17ECE94
74,533,5,1.0,labelflip_mu0p4,tea_fl,tea_energy_only,123,5623,6C85832BF019D80218D929A1485EDF3C091913EA8A594797858AF3D032698048,B945718B33FC34F845B4444ED747A4C593C3B0AC68AD5541CE93736972548831
75,534,5,1.0,labelflip_mu0p4,arl_fl,arl_no_energy,123,5781,A753DBF69246DB68EEB75A3D441603705942A5FBD2C300809BE8C3A632B6FA40,177E524EBC6519275D8A5E23300591DA9940ED73D43C12E9CE9995F961C5ED28
76,534,5,1.0,labelflip_mu0p4,arl_fl,arl_no_pressure,123,5556,666410B55FEDF17598D4A89D3B595F61F60138C04B727D442A7E5551B65AE743,E1A60D66068DB997251CDD72D25714F55DD4A987B9EE3F77C7754DDCE330E95C
77,539,5,1.0,labelflip_mu0p4,tea_fl,tea_trust_only,456,5440,9DEF9682F9956DBB935965697B14FB8A3D7296B125058716540E465A2E8C82F2,98248D81DC1B27546BB8AD5FC7E383AAE4D45E1CD1F4E4D68219E06E017DE12F
78,539,5,1.0,labelflip_mu0p4,tea_fl,tea_energy_only,456,5671,59149F6423783D7431939BD193C3BE3D2617B7B7AD260C3B2FF5199C400CB3CE,E655589465C6A98DD058D13BF71EFF91CB5DA33D7555AF0F8EE89AEF5A86BA5F
79,540,5,1.0,labelflip_mu0p4,arl_fl,arl_no_energy,456,5759,AC16CE8E63420285ED107518842FF052E7FD549A0EBEDBE40711288124C998BA,865CE02954F2476144CA30712522AD1D146C0FB3451145D1EE66BC605874F0FC
80,540,5,1.0,labelflip_mu0p4,arl_fl,arl_no_pressure,456,5579,49EDF317CB3BCD67B53B3CBD1E5756633F42FAA64ADB24E0543D619612578E61,A7AA7F250B8F42DEE9ED177AA36BEFBD51963A0D04A60DD9E4A7B56DA46C7194
81,77,1,0.1,signflip_mu0p2,tea_fl,tea_trust_only,123,4458,D41636575A6097F118B5D3EADADF3D9AC85F924D4ACD77B841825DF29A2BC20E,F689E63A97AD3A425C7F561F914F3FF0F46DFF43B4E6CD14508DF738ED814617
82,77,1,0.1,signflip_mu0p2,tea_fl,tea_energy_only,123,5116,64E0AB84F00464FA13F54A869517C4494AFA955C0DDF17EEB678E2150920D696,6FF71A25D1C075AFF6A02FDC05A17621BF7739F0E25020A5B3CCB513756BE494
83,78,1,0.1,signflip_mu0p2,arl_fl,arl_no_energy,123,5734,5E239282A953BC8507CF758491847DE874FFEE7B2D9A983225B05814C023BC7A,63C639028D95660EC58245FBAB60FE7D55D024CFA6F8D3F4B014E9D8A34061FB
84,78,1,0.1,signflip_mu0p2,arl_fl,arl_no_pressure,123,5477,DC0AA3F0B3EB010CB10B0D4B988A71039D0E606A66C98B45F4A1AA230F1B65CD,ABE2C049BA43FB09EAB702E2DB2507840EAA8663BA57684F62BF457538060253
85,83,1,0.1,signflip_mu0p2,tea_fl,tea_trust_only,456,4527,B5606DD6074017A8C3E6C80D07A7EBBAB8CB9FA4AFC9CDCC49370302EABA3B57,2E66D84FB7C9EF7DAAC3FED43DA2C43DB79D29FE67EF7BAE643A051B474776BE
86,83,1,0.1,signflip_mu0p2,tea_fl,tea_energy_only,456,5247,E991FAFB821C4DEA3DDF5D232BBC275990DBEE974F301398BF24E46DEAD71014,66397C60DF3FF033BF8C88074A11251529AD328363F7FE59CD4EAE69CE243060
87,84,1,0.1,signflip_mu0p2,arl_fl,arl_no_energy,456,5685,779C0BB2DEA6436098BC8E7E624B59876AB2E3B97C6E01DA1AFAB416312A3718,4103DF181CB25A48351F86579951D7A92ABB411F629685709984E5FDFD429905
88,84,1,0.1,signflip_mu0p2,arl_fl,arl_no_pressure,456,5431,737FAD56DBB9B1AB8D0C1CE58589B156E0F7D8ABAE87B7454ED2B2078DFC9359,6189F328F83200F43C1D01E39C237F72ECBEFD27B88885E40C7B074A9FCF60A9
