ablation_run_id,reference_run_id,source_condition_id,outer_fold,alpha,scenario,method_family,variant,variant_label,component_isolated,fl_seed,early_stop_round,loss,accuracy,balanced_accuracy,macro_f1,final_active_clients,final_mean_residual_energy,final_min_residual_energy,total_normalized_energy_consumed,jain_participation_fairness,scientific_optimizer_steps_accounted,run_result_binding_sha256,run_manifest_binding_sha256,run_manifest_entries
35,546,91,5,0.1,clean,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,,1.9358378007404895,0.48716683119447185,0.4383923475405163,0.3553490850218212,23,0.2733030115154472,0.07443348557775581,16.425571610536732,0.925990230803065,5568,2237B9EA2DED168ED60857380EA87A34CBC8ABFE2833E19256E7C2F243E8614C,29E87EFAD4CD14587C1479C39F6C002B3C351254B8562C75D50B728490A849F2,11
36,546,91,5,0.1,clean,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,,1.2261011922936096,0.5824284304047384,0.5072308212807516,0.4372627737498336,24,0.291233510816244,0.07443348557775664,15.923517630114425,0.8353608236657721,5357,9C11675511F636CF4C9653A42E2231B5704F78A757B623D2ED428E9B4BE48546,40B9F3438EE727A1BA06AB2647CB7A28571EECBF236EE5E13338C3F71E418E2C,11
37,551,92,5,0.1,clean,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,,1.7315906026168024,0.5128331688055281,0.4758880179522327,0.41038397137514765,19,0.32009821825348167,0.09154994470957048,14.117988466269356,0.6205446830955872,4436,081C268684BDC0075B700FB28F5446AC32AB6B7D68AC1B6961B6A2CBD9F1C755,C2BB513735E4B05EDBED39D34D4D9D1B806F4C6D231308B18DDCA62C68981943,11
38,551,92,5,0.1,clean,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,,0.9133129997761793,0.6979269496544916,0.6635959173337106,0.6367683575541578,28,0.25414477508733535,0.2330274987539908,15.964684874921453,0.8310479514667997,5174,5D66412748DD52A34A695FB51F242C37F123853C1D1527658C3408CCBCCB6103,5E1EC0A40F3AD635362933137FBD9D46B3794F9E9A57AE762A1D8EBCB9F15008,11
39,552,92,5,0.1,clean,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,,1.1013316731580036,0.5952615992102666,0.5916932298818628,0.535500898561429,16,0.21432154953197408,0.06563270884934805,17.07973519047157,0.9297568685788666,5606,3C254F24CC680563AE7FA145367E7672DEF9DD5443F3ABCAE1B6F79B4716ECBF,37199FD583DB9DEA8375C926D0B54D60145E09DD7FE812C6B755CE9EA3B61F6E,11
40,552,92,5,0.1,clean,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,,1.1247501039081358,0.6194471865745311,0.5851136799931069,0.5477890570787863,23,0.23568725649602854,0.06693029272582249,16.481495395478046,0.8614284637500135,5353,4734BEAE3F88BF24386A5B3F70854AFFAF4291C579CD1E93C7C0A7E64FF7A028,635D114F3C25170EE187F6CC981607AD3EE76744A42D6370197ABE18BAE2E214,11
41,53,9,1,1.0,labelflip_mu0p4,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,,0.677534666490851,0.7898550724637681,0.7881008766689424,0.7928755353800333,17,0.33704525223188997,0.08443065924633836,15.10238767271399,0.6777306190222041,5250,8FF8E7367A6053FADD1924FE00AA84087A5C1B5136ED238B6E9C6DD2B2B3278E,6E56377D5151739C3873E11B19D653B234C61A4A055767B952FE611225675F44,11
42,53,9,1,1.0,labelflip_mu0p4,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,,0.8836659955682221,0.7324016563146998,0.7015732770758532,0.6700792133238149,28,0.288319636787878,0.2584035274895758,16.466704905146326,0.887449248996073,5644,DF8BA767549C740176D975AE4FF7E73ED23356F948ACEE1596ABBCA9AB002788,A505B3156552B069C5B531BF3C15C9852F3535ADB361DDA71DE2FCB16DE81F8C,11
43,54,9,1,1.0,labelflip_mu0p4,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,,0.8380301124560907,0.7168737060041408,0.6980430264788412,0.6858963517142906,26,0.27097187735426287,0.09203780780540842,16.952442169287547,0.9123879473552154,5818,B09E748616DC6B33C0DEBCEFD4A4787FC9438FD028B7470FC917427739BFB778,A10685F5A70121A46FE87B799C8C1A02559A2D4E4EC89723F9DB2AA1C6069521,11
44,54,9,1,1.0,labelflip_mu0p4,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,,1.597723448498649,0.42857142857142855,0.4256511579766034,0.37916517920643605,24,0.28532318360510206,0.0776557510137082,16.550605594264052,0.8772987970040246,5662,68DE8F4E034E771376ACB094B22EA3FFB9BE41902102109F10DC5C671F336325,DFEFFCE4310A89585639788D3B79C52CBB72854B100A8415BB17ADFD08D27AD3,11
