method,macro_f1,balanced_accuracy,total_normalized_energy_consumed,final_mean_residual_energy,final_active_clients,jain_participation_fairness,macro_f1_benefit_norm,balanced_accuracy_benefit_norm,total_normalized_energy_consumed_benefit_norm,final_mean_residual_energy_benefit_norm,final_active_clients_benefit_norm,jain_participation_fairness_benefit_norm,pareto_macro_f1_energy,pareto_four_objective,score_effectiveness_energy,score_balanced_four_objective,alpha,scenario,method_label
arl_fl,0.02528185476437181,0.09850259338202867,16.55323921541965,0.25495516040976873,23.6,0.8859541983760675,0.024452698046722114,0.03277317725588289,0.5699523295397045,0.5699523295397046,1.0,0.5661552991162883,False,True,0.29720251379321333,0.5401400816756787,1.0,signflip_mu0p4,ARL-FL
fedavg,0.01409512282090567,0.0833333333333333,17.359177477174327,0.22617165106138745,19.1,0.9795144310449322,0.001669682098863491,0.0,0.0,0.0,0.5054945054945056,1.0,False,True,0.0008348410494317455,0.3767910468983423,1.0,signflip_mu0p4,FedAvg
fedle_adapted,0.013971514832633768,0.0833333333333333,17.33654838719105,0.22697983284650447,21.4,0.9193718020884262,0.0014179407697323954,0.0,0.016003090017406074,0.016003090017406303,0.758241758241758,0.7211148355910557,False,True,0.008710515393569235,0.37419440615498806,1.0,signflip_mu0p4,FedLE-adapted
fedprox,0.013275289041500122,0.0833333333333333,17.359177477174327,0.22617165106138745,19.1,0.9795144310449322,0.0,0.0,0.0,0.0,0.5054945054945056,1.0,False,False,0.0,0.37637362637362637,1.0,signflip_mu0p4,FedProx
random_trimmed_mean,0.01395943045073646,0.0833333333333333,17.359177477174327,0.22617165106138745,19.1,0.9795144310449322,0.001393329590446278,0.0,0.0,0.0,0.5054945054945056,1.0,False,False,0.000696664795223139,0.37672195877123793,1.0,signflip_mu0p4,Random Trimmed Mean
tea_fl,0.5042871888298414,0.5461892819726262,15.945132442205255,0.27667325945314003,14.5,0.763860690251766,1.0,1.0,1.0,1.0,0.0,0.0,True,True,1.0,0.5,1.0,signflip_mu0p4,TEA-FL
arl_fl,0.7276661149377954,0.7375198843851798,16.32684078665122,0.2630408185800699,24.9,0.8503035399398172,0.5262662762159926,0.3128463617976733,0.6417419346068713,0.6417419346068719,1.0,0.4636170836435855,True,True,0.584004105411432,0.6579063236166124,1.0,labelflip_mu0p2,ARL-FL
fedavg,0.7355379061240309,0.7428702821142903,17.359177477174327,0.22617165106138745,19.1,0.9795144310449322,0.7980671263885599,0.7438625371193981,0.0,0.0,0.3958333333333335,1.0,False,False,0.39903356319427996,0.5484751149304734,1.0,labelflip_mu0p2,FedAvg
fedle_adapted,0.7276407317405451,0.7392335263176996,17.33654838719105,0.22697983284650447,21.4,0.9193718020884262,0.525389833430671,0.45089355548702803,0.014067150879721213,0.014067150879721428,0.6354166666666666,0.7503346781287278,False,True,0.2697284921551961,0.48130208227644666,1.0,labelflip_mu0p2,FedLE-adapted
fedprox,0.7326352000217633,0.7413606298550954,17.359177477174327,0.22617165106138745,19.1,0.9795144310449322,0.6978411463375394,0.6222482991191615,0.0,0.0,0.3958333333333335,1.0,False,False,0.3489205731687697,0.5234186199177182,1.0,labelflip_mu0p2,FedProx
