run_id,condition_id,outer_fold,alpha,scenario,method,method_label,fl_seed,macro_f1_auc_0_100,macro_f1_auc_20_100,balanced_accuracy_auc_0_100,active_clients_auc_0_100,mean_residual_energy_auc_0_100,macro_f1_round15,macro_f1_round20,macro_f1_round25,macro_f1_round40,macro_f1_round100,macro_f1_postattack_nadir,macro_f1_postattack_nadir_round,macro_f1_delta_round25_minus15,macro_f1_delta_round40_minus15,macro_f1_delta_round100_minus15,macro_f1_final_recovery_from_nadir,active_clients_round100,mean_residual_energy_round100,global_pressure_round20,global_pressure_round40,global_pressure_round100,global_pressure_max
192,32,2,0.1,clean,arl_fl,ARL-FL,456,0.3385929927211724,0.3839710725536366,0.4222540783818034,27.575,0.5676044362284672,0.20829353489959,0.2999482827999286,0.2809425235467337,0.3337714860163617,0.5029474478740202,0.2323684596990453,35,0.07264898864714373,0.1254779511167717,0.2946539129744302,0.27057898817497494,25.0,0.2735054613414907,0.1919035865838333,0.2173395033078708,0.2620095097901853,0.2651506194355547
193,33,2,0.1,signflip_mu0p2,fedavg,FedAvg,123,0.06436592897345601,0.02140649055380748,0.1390370287675656,25.35,0.5104105961379889,0.3306149674788083,0.0886177337856595,0.0165118679050567,0.0165118679050567,0.0419730141010488,0.0165118679050567,25,-0.3141030995737516,-0.3141030995737516,-0.2886419533777595,0.025461146195992098,16.0,0.2093622782180975,,,,
194,33,2,0.1,signflip_mu0p2,fedprox,FedProx,123,0.06596321744362552,0.024697664187074773,0.14070590945148775,25.35,0.5104105961379889,0.3293728865505979,0.0731967989012104,0.0165118679050567,0.0165118679050567,0.0419980202734027,0.0165118679050567,25,-0.31286101864554117,-0.31286101864554117,-0.28737486627719516,0.025486152368346,16.0,0.2093622782180975,,,,
195,33,2,0.1,signflip_mu0p2,random_trimmed_mean,Random Trimmed Mean,123,0.2458586798920873,0.2626334964876291,0.3411930762996805,25.35,0.5104105961379889,0.2023040423793196,0.3119460292383265,0.0165118679050567,0.2582514242246208,0.1805636877259034,0.0165118679050567,25,-0.18579217447426288,0.05594738184530118,-0.0217403546534162,0.16405181982084668,16.0,0.2093622782180975,,,,
196,33,2,0.1,signflip_mu0p2,fedle_adapted,FedLE-adapted,123,0.07341105402135771,0.05036876264908966,0.16381999160499444,26.4,0.4954013181519622,0.1356391545150716,0.1773430842684683,0.0165118679050567,0.0606454269244966,0.0169753086419753,0.0165118679050567,25,-0.11912728661001491,-0.07499372759057502,-0.11866384587309631,0.0004634407369186015,16.0,0.1926863462402891,,,,
197,33,2,0.1,signflip_mu0p2,tea_fl,TEA-FL,123,0.31714849559070435,0.3562469193914574,0.40797443100745334,25.425,0.5617410485104615,0.2180181386302916,0.1503195145333347,0.2667831273783387,0.1924458317785912,0.3795912765741229,0.1503195145333347,20,0.048764988748047106,-0.025572306851700394,0.1615731379438313,0.2292717620407882,15.0,0.2607336923087284,,,,
198,33,2,0.1,signflip_mu0p2,arl_fl,ARL-FL,123,0.33206245524594075,0.36134686978870817,0.42212949816413325,27.25,0.5360629240414381,0.2415945238990679,0.3781796403430351,0.3073332162721112,0.276731377411738,0.4244830712692719,0.276731377411738,40,0.06573869237304328,0.03513685351267007,0.18288854737020402,0.14775169385753395,22.0,0.2314202922782745,0.2001088072361487,0.2484800426546717,0.2582015205932068,0.3952478274673173
199,34,2,0.1,signflip_mu0p2,fedavg,FedAvg,456,0.06407722008156722,0.03053363218594924,0.1358458913014201,26.25,0.5425638569536626,0.2494444859058794,0.1478685655897966,0.0176876157795524,0.0169753086419753,0.0184133915574963,0.0169753086419753,40,-0.231756870126327,-0.2324691772639041,-0.2310310943483831,0.0014380829155209995,18.0,0.2418024625543449,,,,
200,34,2,0.1,signflip_mu0p2,fedprox,FedProx,456,0.05956283511536473,0.027297623711985058,0.13180854737767525,26.25,0.5425638569536626,0.2435863439292799,0.1629628617372222,0.0768674119114712,0.0169753086419753,0.0169753086419753,0.0169753086419753,40,-0.1667189320178087,-0.2266110352873046,-0.2266110352873046,0.0,18.0,0.2418024625543449,,,,
201,34,2,0.1,signflip_mu0p2,random_trimmed_mean,Random Trimmed Mean,456,0.2295190602665113,0.2392613891356532,0.31905075712307973,26.25,0.5425638569536626,0.2457054883291007,0.2575792973169033,0.1156042684456987,0.2387312331352264,0.2602924377808102,0.0693266247769784,60,-0.130101219883402,-0.00697425519387429,0.014586949451709491,0.19096581300383178,18.0,0.2418024625543449,,,,
202,34,2,0.1,signflip_mu0p2,fedle_adapted,FedLE-adapted,456,0.09852794704963702,0.05968109983889337,0.19025123848883724,26.7,0.5279613304082023,0.3559113437097491,0.2251582391378924,0.0622475342849493,0.0534628564369464,0.0623960989543181,0.0169753086419753,30,-0.2936638094247998,-0.3024484872728027,-0.293515244755431,0.0454207903123428,20.0,0.2363783218173115,,,,
203,34,2,0.1,signflip_mu0p2,tea_fl,TEA-FL,456,0.2614584431048356,0.2897984223605599,0.3572859206578293,26.075,0.6028970664418604,0.2796631609596032,0.1150329724348455,0.2021540365940932,0.3769201569457971,0.2636354331159053,0.1150329724348455,20,-0.07750912436551,0.09725699598619392,-0.01602772784369788,0.1486024606810598,19.0,0.3236177517346216,,,,
204,34,2,0.1,signflip_mu0p2,arl_fl,ARL-FL,456,0.23769621935205204,0.26257181478079084,0.32672295396871526,27.25,0.5684920500540759,0.201797448038554,0.1656086492409244,0.3489904316408598,0.2986922117119917,0.221410122922922,0.12362142462873,80,0.1471929836023058,0.09689476367343766,0.019612674884367992,0.097788698294192,22.0,0.2759439433246852,0.257174720040257,0.2435427957405776,0.2776961998460965,0.4028082686674503
205,35,2,0.1,signflip_mu0p4,fedavg,FedAvg,123,0.06388905060110889,0.020243814152828297,0.1352630595975591,25.35,0.5104105961379889,0.3372862297500316,0.0960008104864339,0.0184133915574963,0.0184133915574963,0.0184133915574963,0.0089064436183395,80,-0.3188728381925353,-0.3188728381925353,-0.3188728381925353,0.009506947939156801,16.0,0.2093622782180975,,,,
206,35,2,0.1,signflip_mu0p4,fedprox,FedProx,123,0.06112220228932715,0.016840863702281602,0.13511807140169155,25.35,0.5104105961379889,0.3396209926544964,0.1054622786975728,0.0102150537634408,0.0184133915574963,0.0089064436183395,0.0089064436183395,75,-0.3294059388910556,-0.3212076010970001,-0.33071454903615694,0.0,16.0,0.2093622782180975,,,,
207,35,2,0.1,signflip_mu0p4,random_trimmed_mean,Random Trimmed Mean,123,0.040549521508533755,0.013477161664357026,0.11628065514074479,25.35,0.5104105961379889,0.1962828201739155,0.0391490957769016,0.0089064436183395,0.0121377636170535,0.0136698212407991,0.0089064436183395,25,-0.18737637655557599,-0.184145056556862,-0.1826129989331164,0.0047633776224596,16.0,0.2093622782180975,,,,
208,35,2,0.1,signflip_mu0p4,fedle_adapted,FedLE-adapted,123,0.04541774543342018,0.01790001719743923,0.1207984798290484,26.4,0.4954013181519622,0.145746274591028,0.0609326452612977,0.0165118679050567,0.0165118679050567,0.0165118679050567,0.0165118679050567,25,-0.1292344066859713,-0.1292344066859713,-0.1292344066859713,0.0,16.0,0.1926863462402891,,,,
209,35,2,0.1,signflip_mu0p4,tea_fl,TEA-FL,123,0.22737609841208564,0.24268640043632894,0.32727973610202327,24.725,0.5616210980848653,0.2588729199170712,0.0089064436183395,0.0089064436183395,0.1869681237421577,0.3119548572708277,0.0089064436183395,20,-0.24996647629873167,-0.07190479617491347,0.05308193735375655,0.30304841365248825,13.0,0.2713845510829347,,,,
210,35,2,0.1,signflip_mu0p4,arl_fl,ARL-FL,123,0.08331663745630989,0.052032321372559885,0.17859450813429598,26.0,0.5330378977057675,0.2318736631611767,0.2925401622520077,0.0089064436183395,0.0318631112783424,0.0136698212407991,0.0089064436183395,25,-0.2229672195428372,-0.2000105518828343,-0.2182038419203776,0.0047633776224596,20.0,0.234614981860573,0.1944218053703839,0.2781656157936337,0.3666042417539916,0.3776311319969568
