alpha,scenario,method,method_label,round,n_runs,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_ci95_low,test_macro_f1_ci95_high,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_ci95_low,test_balanced_accuracy_ci95_high,active_clients_mean,active_clients_std,active_clients_ci95_low,active_clients_ci95_high,mean_residual_energy_mean,mean_residual_energy_std,mean_residual_energy_ci95_low,mean_residual_energy_ci95_high,global_pressure_mean,global_pressure_std,global_pressure_ci95_low,global_pressure_ci95_high
0.1,clean,arl_fl,ARL-FL,20,10,0.3088514590138586,0.06732447378644056,0.2606904317498873,0.35701248627782983,0.3857321416119567,0.06366727268019949,0.34018731841585853,0.43127696480805483,28.0,0.0,28.0,28.0,0.7294340025991592,0.020670769108561363,0.7146470251656248,0.7442209800326937,0.1837461424577118,0.009959765517510802,0.17662135541291193,0.19087092950251164
0.1,clean,arl_fl,ARL-FL,25,10,0.3034765254227568,0.07528717540482793,0.2496193245658884,0.35733372627962523,0.39824757464823485,0.05621167586422282,0.35803616412257855,0.43845898517389115,28.0,0.0,28.0,28.0,0.6995452022657328,0.021143013183576337,0.6844204017718326,0.714670002759633,0.19110317338384153,0.009892881809656296,0.18402623206135232,0.19818011470633073
0.1,clean,arl_fl,ARL-FL,30,10,0.3028300069479783,0.05678870100087171,0.2622058175059015,0.3434541963900551,0.39431940608472504,0.052417777670204675,0.3568219868327092,0.4318168253367409,28.0,0.0,28.0,28.0,0.6685463329882578,0.021503807932483947,0.6531634354790887,0.6839292304974269,0.20846823025974293,0.0075334685176128005,0.20307911152975602,0.21385734898972983
0.1,clean,arl_fl,ARL-FL,35,10,0.34322265850594874,0.08221175300913666,0.28441191323890824,0.40203340377298924,0.42920805937754947,0.07032511082738879,0.37890050568402456,0.4795156130710744,28.0,0.0,28.0,28.0,0.6388116621282556,0.02243388107333153,0.6227634303747233,0.6548598938817879,0.21628666456875406,0.012474022705320977,0.20736328628126782,0.2252100428562403
0.1,clean,arl_fl,ARL-FL,40,10,0.35490812518261244,0.058311787729999356,0.31319438513046194,0.39662186523476295,0.42937029832290935,0.04982762643785935,0.3937257616424602,0.4650148350033585,28.0,0.0,28.0,28.0,0.6082424166339326,0.022017408167630866,0.592492111649643,0.6239927216182223,0.22017229791495901,0.0062631050566803025,0.21569194245984297,0.22465265337007506
0.1,clean,arl_fl,ARL-FL,45,10,0.3967828487784894,0.06138753558441395,0.352868851257659,0.4406968462993198,0.4752805899021859,0.045823443246379214,0.4425004733205337,0.508060706483838,28.0,0.0,28.0,28.0,0.5774574724604293,0.022849485921149233,0.5611119349088558,0.5938030100120029,0.22812916021398796,0.0077751062379211745,0.22256718427203545,0.23369113615594048
0.1,clean,arl_fl,ARL-FL,50,10,0.42427903237352604,0.11887345819682564,0.3392420831158117,0.5093159816312404,0.48957809336451863,0.09589913904302702,0.42097598197344827,0.558180204755589,28.0,0.0,28.0,28.0,0.5474497352757763,0.024022751915721098,0.5302648937924452,0.5646345767591074,0.23324279624323582,0.007633287050234566,0.2277822716365941,0.23870332084987755
0.1,clean,arl_fl,ARL-FL,55,10,0.39776331760475,0.0654368687779028,0.350952601619381,0.44457403359011893,0.4731334282439147,0.052145959716919085,0.4358304558419485,0.5104364006458808,28.0,0.0,28.0,28.0,0.5169416725226552,0.02454989498978801,0.49937973560085575,0.5345036094444547,0.23882684963652032,0.0058107650020637,0.2346700787633214,0.24298362050971922
0.1,clean,arl_fl,ARL-FL,60,10,0.4190425442225142,0.078593486210913,0.3628201510972274,0.475264937347801,0.4881138945338527,0.06376451032483438,0.44249951171714463,0.5337282773505607,28.0,0.0,28.0,28.0,0.48694748453082426,0.024707302538825738,0.46927294503176875,0.5046220240298798,0.23491311160516376,0.003497720507941686,0.23241099308465246,0.23741523012567506
0.1,clean,arl_fl,ARL-FL,65,10,0.47042999567364746,0.06203123639190571,0.4260555223347989,0.514804469012496,0.5268713001704424,0.061040863598142994,0.4832052968490974,0.5705373034917873,27.9,0.3162277660168379,27.673784283720178,28.12621571627982,0.4567051335626925,0.025183264790742954,0.43869011117974666,0.4747201559456383,0.2454392594100033,0.009334697886687835,0.2387616188116114,0.2521169000083952
