alpha,scenario,method,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,energy_consumed_mean,final_active_clients_mean,jain_fairness_mean,method_label,macro_f1_rank
0.1,signflip_mu0p4,random_trimmed_mean,0.02453959260473604,0.015629286195575035,0.10502440174639813,17.46344112294742,17.0,0.959574286631274,Random Trimmed Mean,2.0
0.1,signflip_mu0p4,tea_fl,0.33188520794262916,0.11431747105602408,0.4146124511301701,15.53597101457743,14.6,0.7180754925629416,TEA-FL,1.0
1.0,clean,arl_fl,0.7227868413813775,0.06177700345038201,0.736286155332687,16.287707273152687,24.8,0.8464117683264527,ARL-FL,5.0
1.0,clean,fedavg,0.787712564381936,0.03988642521003213,0.7861246665805715,17.359177477174327,19.1,0.9795144310449322,FedAvg,1.0
1.0,clean,fedle_adapted,0.7522868189287886,0.050077751488904705,0.758940477286332,17.33654838719105,21.4,0.9193718020884262,FedLE-adapted,3.0
1.0,clean,fedprox,0.7870632834230393,0.027409034785769962,0.7854107980896062,17.359177477174327,19.1,0.9795144310449322,FedProx,2.0
1.0,clean,random_trimmed_mean,0.737583416950611,0.051856966248647586,0.7479796409353628,17.359177477174327,19.1,0.9795144310449322,Random Trimmed Mean,4.0
1.0,clean,tea_fl,0.660299144576747,0.07040477761170366,0.6878829854028108,15.395998019783315,15.3,0.726126617429487,TEA-FL,6.0
1.0,labelflip_mu0p2,arl_fl,0.7276661149377954,0.05010431631128847,0.7375198843851798,16.32684078665122,24.9,0.8503035399398172,ARL-FL,4.0
1.0,labelflip_mu0p2,fedavg,0.7355379061240309,0.06688288433330054,0.7428702821142903,17.359177477174327,19.1,0.9795144310449322,FedAvg,2.0
1.0,labelflip_mu0p2,fedle_adapted,0.7276407317405451,0.05672554309087065,0.7392335263176996,17.33654838719105,21.4,0.9193718020884262,FedLE-adapted,5.0
1.0,labelflip_mu0p2,fedprox,0.7326352000217633,0.0648024020596446,0.7413606298550954,17.359177477174327,19.1,0.9795144310449322,FedProx,3.0
1.0,labelflip_mu0p2,random_trimmed_mean,0.7413862079733317,0.05283799351273838,0.7460498316954947,17.359177477174327,19.1,0.9795144310449322,Random Trimmed Mean,1.0
