index,alpha,scenario,class_index,activity_id,activity_name,method,class_f1_mean,class_f1_std,class_f1_median,method_label,rank_within_condition_activity
313,0.1,signflip_mu0p4,4,5,Running,fedavg,0.0,0.0,0.0,FedAvg,5.0
314,0.1,signflip_mu0p4,4,5,Running,fedle_adapted,0.0,0.0,0.0,FedLE-adapted,5.0
315,0.1,signflip_mu0p4,4,5,Running,fedprox,0.0,0.0,0.0,FedProx,5.0
316,0.1,signflip_mu0p4,4,5,Running,random_trimmed_mean,0.026214689265536724,0.0828981262326626,0.0,Random Trimmed Mean,2.0
317,0.1,signflip_mu0p4,4,5,Running,tea_fl,0.4863807981109072,0.40791132026005394,0.6585501585501585,TEA-FL,1.0
318,0.1,signflip_mu0p4,5,6,Cycling,arl_fl,0.06903883503940694,0.08917283972238615,0.0,ARL-FL,2.0
319,0.1,signflip_mu0p4,5,6,Cycling,fedavg,0.05123307964372349,0.08251396414781467,0.0,FedAvg,3.5
320,0.1,signflip_mu0p4,5,6,Cycling,fedle_adapted,0.01662315056570931,0.05256701767555791,0.0,FedLE-adapted,5.5
321,0.1,signflip_mu0p4,5,6,Cycling,fedprox,0.05123307964372349,0.08251396414781467,0.0,FedProx,3.5
322,0.1,signflip_mu0p4,5,6,Cycling,random_trimmed_mean,0.01662315056570931,0.05256701767555791,0.0,Random Trimmed Mean,5.5
323,0.1,signflip_mu0p4,5,6,Cycling,tea_fl,0.49682515282641787,0.4388435127994191,0.6962745098039216,TEA-FL,1.0
324,0.1,signflip_mu0p4,6,7,Nordic walking,arl_fl,0.02129202935654548,0.06415834516611234,0.0,ARL-FL,5.0
325,0.1,signflip_mu0p4,6,7,Nordic walking,fedavg,0.03925690550363447,0.0827715492844057,0.0,FedAvg,4.0
326,0.1,signflip_mu0p4,6,7,Nordic walking,fedle_adapted,0.01934579439252336,0.06117677342568733,0.0,FedLE-adapted,6.0
327,0.1,signflip_mu0p4,6,7,Nordic walking,fedprox,0.059627275874004834,0.0960395111149223,0.0,FedProx,3.0
