run_id,condition_id,outer_fold,outer_test_subject,alpha,scenario,attack,malicious_count,method,fl_seed,model_seed,random_schedule_seed,early_stop_round,completed_training_rounds,loss,accuracy,balanced_accuracy,macro_f1,first_client_dropout_round,active_client_lifetime_75pct,active_client_lifetime_50pct,final_active_clients,final_mean_residual_energy,final_min_residual_energy,total_normalized_energy_consumed,jain_participation_fairness,scientific_optimizer_steps_accounted,run_result_binding_sha256,run_file_manifest_sha256,run_manifest_entries,class_00_f1,class_01_f1,class_02_f1,class_03_f1,class_04_f1,class_05_f1,class_06_f1,class_07_f1,class_08_f1,class_09_f1,class_10_f1,class_11_f1
115,20,1,101,0.1,labelflip_mu0p4,label_flip,11,fedavg,456,1039791761,2129548108,,100,1.5001969470740846,0.4508281573498965,0.4437537357286223,0.37322352230496075,65,90,100,17,0.2155035920701447,0.07453468281374012,17.69360072629972,0.9615153481887455,5791,33F9809E1E46322F3CD9EAEC38992BE726FCAC5697936C30118E59F8C32C42E4,9D1D5DC1BD6758AC495AA9C72AB0C664B2B319461E7E620E48E14FE7A3C0EE89,11,0.7237163814180929,0.11570247933884298,0.43824701195219123,0.0,0.7475728155339806,0.711864406779661,0.42790697674418604,0.3958333333333333,0.624,0.2938388625592417,0.0,0.0
116,20,1,101,0.1,labelflip_mu0p4,label_flip,11,fedprox,456,1039791761,2129548108,,100,1.7119419767249444,0.36024844720496896,0.3567964714155812,0.27578565973070895,65,90,100,17,0.2155035920701447,0.07453468281374012,17.69360072629972,0.9615153481887455,5791,2EB22DF68746239165C58CF1CBC9A184E437FAC2BA6D7C5DDF5E0EFBB35298C0,29B49DD074DEB042F95262F0C1B9230D02DBCE3DCD4CAC6F581A6A86F19AF39F,11,0.709480122324159,0.06818181818181818,0.40636474908200737,0.03428571428571429,0.7213114754098361,0.06349206349206349,0.3631647211413748,0.1871345029239766,0.5294117647058824,0.22660098522167488,0.0,0.0
117,20,1,101,0.1,labelflip_mu0p4,label_flip,11,random_trimmed_mean,456,1039791761,2129548108,,100,1.579764203255221,0.4353002070393375,0.43628462841450205,0.3552408841362252,65,90,100,17,0.2155035920701447,0.07453468281374012,17.69360072629972,0.9615153481887455,5791,7843786496630F37487EB34F3DBCE78292C31E572C93A256DAB6A4507C9EAC14,2151515C9419F9945A5A76583151786EE39B80269B56558CBF8A3D2421413515,11,0.0,0.0106951871657754,0.338368580060423,0.5606694560669456,0.7868020304568528,0.8666666666666667,0.6648648648648648,0.01092896174863388,0.5053763440860215,0.5185185185185185,0.0,0.0
118,20,1,101,0.1,labelflip_mu0p4,label_flip,11,fedle_adapted,456,1039791761,2129548108,,100,1.9458162320573384,0.46532091097308487,0.43436718977457306,0.37258681540930255,75,100,100,22,0.20936619459974073,0.07566609518735642,17.865447855471032,0.9407780234253728,5800,4D66C91E002A5264411EA6882B0AD5DE66AF3A6CD588AC00E4E8712C0A743800,C699D9C10C87536169C4B8FEE2E8231A95F245630B95B33D31BFDAC3289E4910,15,0.7873563218390804,0.010101010101010102,0.5170940170940171,0.416289592760181,0.0,0.9391304347826087,0.0,0.27,0.0,0.8545454545454545,0.6765249537892791,0.0
119,20,1,101,0.1,labelflip_mu0p4,label_flip,11,tea_fl,456,1039791761,2129548108,,100,2.2426001556665014,0.25,0.23543920297334567,0.12538696594560936,55,95,100,17,0.34054192774238995,0.08289775904872948,14.192527327476853,0.6127263257865874,4404,9317411505EA9B0492A2968F325F230753575E94E34FB0979EAB3BC2EAEA24EE,97472074541124A1526237112087ED853303AFC21D840D3B58502852EF27B34C,11,0.036036036036036036,0.0,0.3416666666666667,0.0,0.0,0.48945147679324896,0.5382830626450116,0.0,0.0,0.0992063492063492,0.0,0.0
120,20,1,101,0.1,labelflip_mu0p4,label_flip,11,arl_fl,456,1039791761,2129548108,,100,1.5949547162460738,0.38509316770186336,0.36103617903926205,0.2850026506127421,75,100,100,21,0.24911658571526654,0.07702092072673244,16.75243690423631,0.8548561170298025,5385,DE5BC0765A02224AC1EAB099C5BF2C5A16D3C0923521897D5524612344988E6E,A21C35E4578B82DD2D5B63AA6E531890353388844FC47F2601C55AC44F234344,11,0.40310077519379844,0.0,0.0,0.2268041237113402,0.0,0.9202127659574468,0.481994459833795,0.5034965034965035,0.011695906432748537,0.8727272727272727,0.0,0.0
121,21,2,102,1.0,clean,none,0,fedavg,123,1609500700,1673688556,,100,0.6974775695631068,0.7560137457044673,0.7749917261605948,0.7614730457613597,70,95,100,19,0.21951293040646738,0.07990369384546944,17.377660275470713,0.9727271621900953,5904,8A551984D75A2378CA5BD3B1480CCC4868DCC34E3656FCE2EA215D77266ACC5F,57A51C9D802FF17C31C99A2E7FF5CA0EABF055123591736B25DE40008D253E9F,11,0.9421965317919075,0.49530956848030017,0.032520325203252036,0.8125,0.918918918918919,0.9549071618037135,0.6815642458100558,0.8821292775665399,0.8702928870292888,0.8178913738019169,0.8503253796095445,0.8791208791208791
122,21,2,102,1.0,clean,none,0,fedprox,123,1609500700,1673688556,,100,0.6314284302400326,0.771232204221895,0.7868982886526529,0.7728893182183044,70,95,100,19,0.21951293040646738,0.07990369384546944,17.377660275470713,0.9727271621900953,5904,0BBF28CCEAA7889FFBEDCD44DC9E6D8E4BBCBA16BC40DAE4AA2DC41832233D6F,296B1270B1713C174E55291E89D344183323C8485DC7E073B235D8EB3DB2483E,11,0.9479768786127167,0.48940269749518306,0.03292181069958848,0.8517241379310345,0.918918918918919,0.9576719576719577,0.7772020725388601,0.8821292775665399,0.875,0.8159509202453987,0.8466522678185745,0.8791208791208791
123,21,2,102,1.0,clean,none,0,random_trimmed_mean,123,1609500700,1673688556,,100,0.8624131882679363,0.6946489936180658,0.6916069285581724,0.6478868266607551,70,95,100,19,0.21951293040646738,0.07990369384546944,17.377660275470713,0.9727271621900953,5904,C6F6C0DC5D320BF2A411E2B5FDDADA3E96720863D6F2EC39CD896903438E047E,81BBC00BE8250D4ADFB909CBB16D25A26CFFA1A9611C40BAF7B8B9B22341443B,11,0.9510086455331412,0.48221343873517786,0.04081632653061224,0.7585139318885449,0.8874172185430463,0.9578947368421052,0.5095541401273885,0.676056338028169,0.8545454545454545,0.8218390804597702,0.8347826086956521,0.0
124,21,2,102,1.0,clean,none,0,fedle_adapted,123,1609500700,1673688556,,100,1.0372229311624372,0.6715758468335787,0.685740902464418,0.6848979778429731,45,100,100,20,0.21469244078506594,0.07932858967161599,17.512633984869954,0.9324117996713248,5934,A226C6856CFA64DE18FD4856C608EE123BFC6EFF6F1546E9E502F36F3C87B40E,6B6B60BE50468786592FCE33C5144E9B2914F261F4508D1AA4D901A31BDAD001,15,0.9510086455331412,0.28846153846153844,0.06691449814126393,0.751145038167939,0.9436619718309859,0.9574468085106383,0.5266457680250783,0.8136882129277566,0.8258706467661692,0.6761565836298933,0.5325301204819277,0.8852459016393442
125,21,2,102,1.0,clean,none,0,tea_fl,123,1609500700,1673688556,,100,1.4619537056714047,0.6784486990672558,0.6610263142759537,0.6119831980532248,50,80,100,14,0.2851943425119104,0.07909350103115537,15.538580736518309,0.7080460583960987,5150,AEC1C777F4A18124F568E745E074A9514121314CDB7C5D8B1DE7E8B7E6F33C33,93E68C89AEA6F9EF1097C682A14779A25FA6B3C25A0F522FC842A60DE488531D,11,0.9510086455331412,0.0,0.6581352833638026,0.7057142857142857,0.9710144927536232,0.9572192513368984,0.22813688212927757,0.587378640776699,0.7252747252747253,0.7718120805369127,0.7881040892193308,0.0
126,21,2,102,1.0,clean,none,0,arl_fl,123,1609500700,1673688556,,100,0.8694216575789931,0.6887579774177712,0.6754002053529266,0.6434777288219861,85,100,100,24,0.25107686453524203,0.07716617318160401,16.493870119865022,0.8449335670982869,5531,C77E009DD8AF523C3ED96366D8AF3451DA794060302FBCF9B97188AC24E62404,16A7632AD3D74AA8E9957097A3255AAA79DAE0D6069BCE56A45F8DD1A6F8EA84,11,0.9510086455331412,0.4673684210526316,0.09166666666666666,0.7954545454545454,0.8933333333333333,0.9576719576719577,0.6275659824046921,0.6487935656836461,0.8341708542713567,0.7158671586715867,0.738831615120275,0.0
127,22,2,102,1.0,clean,none,0,fedavg,456,2090734901,6174703,,100,0.8655075239503155,0.7457044673539519,0.7626145560481744,0.7612302377797667,90,100,100,20,0.24574700440557207,0.07480793607319838,17.30677986358465,0.9816673620143814,6104,2D295D9CD8A3C741EBAFA597DBD6A176CD675A5FB9438786328080BA85159A2C,E89500764BD5D7A6207AF305DAF8CB471116FF15F917B089A98F67396C70D674,11,0.9510086455331412,0.41042345276872966,0.5562913907284768,0.7329376854599406,0.9714285714285714,0.9629629629629629,0.3732394366197183,0.8602150537634409,0.8383838383838383,0.7643312101910829,0.8063241106719368,0.9072164948453608
128,22,2,102,1.0,clean,none,0,fedprox,456,2090734901,6174703,,100,0.790537538865529,0.7432498772704959,0.7618118142407048,0.764703932523178,90,100,100,20,0.24574700440557207,0.07480793607319838,17.30677986358465,0.9816673620143814,6104,24021F0959659946823F35FEECA08FFAAB584B5266B21D88CDCD9A8C45FA1697,CDB421CE1CB92A457D0AC048F02E4A10CC93E0646F70F1FC2B829CBCBDB43CE4,11,0.9510086455331412,0.39444444444444443,0.43,0.7530487804878049,0.9784172661870504,0.9562982005141388,0.47019867549668876,0.8602150537634409,0.8725490196078431,0.7766990291262136,0.8169014084507042,0.9166666666666666
129,22,2,102,1.0,clean,none,0,random_trimmed_mean,456,2090734901,6174703,,100,0.8733243908601455,0.7064310260186549,0.705289571600365,0.6910531176623724,90,100,100,20,0.24574700440557207,0.07480793607319838,17.30677986358465,0.9816673620143814,6104,F04E8380DF2EF31E98D4DB630AA5A71A1E486DFC458884ED6A2F8EBE02176A35,4039B0C1812623251809DBCCD63C564EE4C04D8486D6231E5B90B6A0E6654339,11,0.9540229885057471,0.4547945205479452,0.4648910411622276,0.7256637168141593,0.9577464788732394,0.9576719576719577,0.35,0.6918604651162791,0.8952380952380953,0.7987616099071208,0.8158995815899581,0.22608695652173913
130,22,2,102,1.0,clean,none,0,fedle_adapted,456,2090734901,6174703,,100,0.7396457930903372,0.7584683357879234,0.7403690062766723,0.7192649141926898,75,100,100,24,0.25636626209738217,0.07681530026673988,17.00944064821397,0.9155308362229775,5980,10266B523AB25EBDD1162DF52754BD5B4859667A2F2BC403F862DE817B181031,A414228D1E626A01E3EEA5B72F43836ECAF231E02CAE34B03129F7A2176F6C34,15,0.9455587392550143,0.36123348017621143,0.6517690875232774,0.8131147540983606,0.8774193548387097,0.9578947368421052,0.6723646723646723,0.7777777777777778,0.8,0.7542087542087542,0.825147347740668,0.19469026548672566
131,22,2,102,1.0,clean,none,0,tea_fl,456,2090734901,6174703,,100,1.573554545196544,0.5792832596956309,0.5657103607691659,0.5278777780424924,55,85,100,16,0.3107809226503844,0.07480793607320066,15.485830152729907,0.7588188983846643,5258,C1B3D45F0BA5DFD39C69E3E385AB1E4DE3802B5EE47824D71458785FFA1C4D5B,B8229B54896BA030013F4F00221B95D34BB9F632E8C7D7F01227DE8008277E17,11,0.22439024390243903,0.3717171717171717,0.26535626535626533,0.6767123287671233,0.7090909090909091,0.9553805774278216,0.09836065573770492,0.8429752066115702,0.5816023738872403,0.7909604519774012,0.8179871520342612,0.0
132,22,2,102,1.0,clean,none,0,arl_fl,456,2090734901,6174703,,100,1.0887144063697707,0.6529209621993127,0.6448321925170823,0.6009695772909611,80,100,100,25,0.2937374184665556,0.09240799551006644,15.963048269877115,0.8394719721295305,5521,55CBF539FF0B2E6A67AD2B9D1271366394BDB2D5DFFA765723F1507C1B61DC85,284C6C18E1E774F2A206FF8FF24CBF89A5FAA7532D90932E55D37D97E44977FE,11,0.9485714285714286,0.4887063655030801,0.15555555555555556,0.7192982456140351,0.7861271676300579,0.9629629629629629,0.29927007299270075,0.6876790830945558,0.7553191489361702,0.6536964980544747,0.7544483985765125,0.0
